Date,Open,High,Low,Close,Volume
2025-05-08 16:00:00,279.8,286.26,277.38,282.43,1483869
2025-05-09 16:00:00,283.26,284,279.58,279.77,1680324
2025-05-12 16:00:00,297.98,309.82,297.98,304.2,2531655
2025-05-13 16:00:00,308.72,311.84,304.87,310.61,1643690
2025-05-14 16:00:00,310.78,319.07,309.81,315.84,1574299
2025-05-15 16:00:00,313.86,319.41,312.35,318.96,1176278
2025-05-16 16:00:00,320,325.44,317.33,321.44,1277499
2025-05-19 16:00:00,316.26,326.73,316,323.7,1701501
2025-05-20 16:00:00,323.2,330.49,322.51,327.17,1378840
2025-05-21 16:00:00,322.11,326.43,317.36,317.56,1323310
2025-05-22 16:00:00,320.5,321.83,317.23,320.46,1344798
2025-05-23 16:00:00,312.53,315.4,309.79,310.76,1990074
2025-05-27 16:00:00,315,322,312.77,321.2,2193366
2025-05-28 16:00:00,321.2,321.33,315.68,315.75,1940900
2025-05-29 16:00:00,321.32,322.94,316.05,317.09,2601988
2025-05-30 16:00:00,314.37,317.74,311.32,316.67,3652690
2025-06-02 16:00:00,315.13,323.5,313.14,322.95,1809724
2025-06-03 16:00:00,328.55,340.25,324.71,334.91,3248131
2025-06-04 16:00:00,333.53,339.15,333.39,335.19,2293724
2025-06-05 16:00:00,335.11,338.49,329.6,330.78,5450423
2025-06-06 16:00:00,271.18,275.6,262.09,265.27,16112240
2025-06-09 16:00:00,266.54,266.95,259,259.04,5395325
2025-06-10 16:00:00,260,262.16,257.4,258.5,3950783
2025-06-11 16:00:00,260.86,261.3,251.52,252.28,4461759
2025-06-12 16:00:00,251.8,251.8,246.56,247.03,4165243
2025-06-13 16:00:00,244.58,248.25,238.25,239.11,4525620
2025-06-16 16:00:00,241.62,242.06,238.26,241.29,3643058
2025-06-17 16:00:00,240.82,241.3,234.59,235.2,3391462
2025-06-18 16:00:00,235.41,235.69,228.45,228.65,4682240
2025-06-20 16:00:00,230.7,231.3,227.12,227.47,4903126
2025-06-23 16:00:00,226.73,227,219.97,225.56,4699810
2025-06-24 16:00:00,227.81,233.49,227.55,232.93,3789234
2025-06-25 16:00:00,234.52,234.9,229.35,231.52,2676882
2025-06-26 16:00:00,232.46,232.92,227.6,231.58,3115376
2025-06-27 16:00:00,235,237.2,231.5,235.02,6204746
2025-06-30 16:00:00,236.32,238.09,233.85,237.58,2964540
2025-07-01 16:00:00,237.23,247.78,237,245.12,3879093
2025-07-02 16:00:00,245.66,252.24,236.32,246.3,5344915
2025-07-03 13:05:00,247.4,249.97,246,247.68,1646311
2025-07-07 16:00:00,245.9,247,235.3,237.57,3317326
2025-07-08 16:00:00,237.58,239.79,235,238.54,2317500
2025-07-09 16:00:00,239.27,239.27,232.09,235.89,3235518
2025-07-10 16:00:00,237.77,241.84,234.65,238.52,2597671
2025-07-11 16:00:00,237.04,238.45,235.53,236.51,1670133
2025-07-14 16:00:00,235.61,236.19,228.75,228.89,3392281
2025-07-15 16:00:00,229.19,230.54,222.06,222.19,4770143
2025-07-16 16:00:00,224.15,227.66,222.46,226.11,3228066
2025-07-17 16:00:00,227,233.75,226.93,233.31,2956125
2025-07-18 16:00:00,232.79,233,228.07,229.77,2552650
2025-07-21 16:00:00,229.97,230.5,222.65,223.21,2985018
2025-07-22 16:00:00,221.77,225.45,221.09,223.93,3309044
2025-07-23 16:00:00,225,226.24,222.87,224.03,2212147
2025-07-24 16:00:00,223.41,225.31,218.45,218.69,3480348
2025-07-25 16:00:00,220.25,220.51,216.49,219.43,2638027
2025-07-28 16:00:00,220.32,220.7,216.33,216.59,2368792
2025-07-29 16:00:00,216,219.12,213.88,214.04,2585646
2025-07-30 16:00:00,214,214.15,205.89,206.47,3850934
2025-07-31 16:00:00,203.97,206.64,200.24,200.53,4173883
2025-08-01 16:00:00,199.94,200,191.44,193.33,4697884
2025-08-04 16:00:00,195.08,197.49,192.81,196.45,3524454
